date,day_of_growth,stage,stage_key,kc,description,et0,etc,etc_cumulative
2023-10-10,1,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,1.3072120248018895,0.9150484173613226,0.9150484173613226
2023-10-11,2,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,0.8126308333255872,0.568841583327911,1.4838900006892337
2023-10-12,3,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,0.8207583056108698,0.5745308139276089,2.0584208146168423
2023-10-13,4,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,1.1847608958822715,0.82933262711759,2.887753441734432
2023-10-14,5,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,0.5,0.35,3.2377534417344322
2023-10-15,6,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,0.5,0.35,3.5877534417344323
2023-10-16,7,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,0.818312794563681,0.5728189561945767,4.160572397929009
2023-10-17,8,播种-出苗期,stage_1,0.7,完全依赖土壤墒情，核心是足墒播种,0.6066572074703424,0.4246600452292396,4.585232443158248
2023-10-18,9,幼苗-分蘖期,stage_2,0.7,根系发育，冬前分蘖形成,1.2846681012325192,0.8992676708627634,5.484500114021012
2023-10-19,10,幼苗-分蘖期,stage_2,0.704,根系发育，冬前分蘖形成,0.6888552350482022,0.4849540854739343,5.969454199494947
2023-10-20,11,幼苗-分蘖期,stage_2,0.707,根系发育，冬前分蘖形成,0.5,0.3535,6.322954199494947
2023-10-21,12,幼苗-分蘖期,stage_2,0.711,根系发育，冬前分蘖形成,1.9088724319222354,1.3572082990967094,7.680162498591656
2023-10-22,13,幼苗-分蘖期,stage_2,0.715,根系发育，冬前分蘖形成,1.0810080018172878,0.7729207212993607,8.453083219891017
2023-10-23,14,幼苗-分蘖期,stage_2,0.719,根系发育，冬前分蘖形成,1.2463398681344389,0.8961183651886615,9.349201585079678
2023-10-24,15,幼苗-分蘖期,stage_2,0.722,根系发育，冬前分蘖形成,0.5197072603718087,0.37522864198844585,9.724430227068124
2023-10-25,16,幼苗-分蘖期,stage_2,0.726,根系发育，冬前分蘖形成,0.9802157729355474,0.7116366511512074,10.436066878219332
2023-10-26,17,幼苗-分蘖期,stage_2,0.73,根系发育，冬前分蘖形成,1.3290083828364243,0.9701761194705897,11.406242997689922
2023-10-27,18,幼苗-分蘖期,stage_2,0.733,根系发育，冬前分蘖形成,0.7199981588931971,0.5277586504687134,11.934001648158636
2023-10-28,19,幼苗-分蘖期,stage_2,0.737,根系发育，冬前分蘖形成,1.506093219615065,1.1099907028563027,13.04399235101494
2023-10-29,20,幼苗-分蘖期,stage_2,0.741,根系发育，冬前分蘖形成,1.0414687904381843,0.7717283737146946,13.815720724729633
2023-10-30,21,幼苗-分蘖期,stage_2,0.744,根系发育，冬前分蘖形成,1.220272871000697,0.9078830160245185,14.723603740754152
2023-10-31,22,幼苗-分蘖期,stage_2,0.748,根系发育，冬前分蘖形成,1.0903785258454683,0.8156031373324103,15.539206878086562
2023-11-01,23,幼苗-分蘖期,stage_2,0.752,根系发育，冬前分蘖形成,2.343256044587486,1.7621285455297895,17.30133542361635
2023-11-02,24,幼苗-分蘖期,stage_2,0.756,根系发育，冬前分蘖形成,1.437018824327105,1.0863862311912913,18.387721654807642
2023-11-03,25,幼苗-分蘖期,stage_2,0.759,根系发育，冬前分蘖形成,0.9423199234577018,0.7152208219043956,19.102942476712037
2023-11-04,26,幼苗-分蘖期,stage_2,0.763,根系发育，冬前分蘖形成,1.910605140535885,1.4577917222288803,20.560734198940917
2023-11-05,27,幼苗-分蘖期,stage_2,0.767,根系发育，冬前分蘖形成,0.9178091577418264,0.7039596239879808,21.264693822928898
2023-11-06,28,幼苗-分蘖期,stage_2,0.77,根系发育，冬前分蘖形成,1.6622935169777244,1.2799660080728479,22.544659831001745
2023-11-07,29,幼苗-分蘖期,stage_2,0.774,根系发育，冬前分蘖形成,0.6083810525616485,0.470886934682716,23.015546765684462
2023-11-08,30,幼苗-分蘖期,stage_2,0.778,根系发育，冬前分蘖形成,0.9551921486943425,0.7431394916841986,23.758686257368662
2023-11-09,31,幼苗-分蘖期,stage_2,0.781,根系发育，冬前分蘖形成,1.7494903069033731,1.3663519296915345,25.1250381870602
2023-11-10,32,幼苗-分蘖期,stage_2,0.785,根系发育，冬前分蘖形成,2.052763536500213,1.6114193761526672,26.736457563212866
2023-11-11,33,幼苗-分蘖期,stage_2,0.789,根系发育，冬前分蘖形成,1.8023713646126616,1.42207100667939,28.158528569892255
2023-11-12,34,幼苗-分蘖期,stage_2,0.793,根系发育，冬前分蘖形成,1.6926966551921743,1.3423084475673943,29.50083701745965
2023-11-13,35,幼苗-分蘖期,stage_2,0.796,根系发育，冬前分蘖形成,1.6344690901960361,1.3010373957960448,30.801874413255693
2023-11-14,36,幼苗-分蘖期,stage_2,0.8,根系发育，冬前分蘖形成,1.0809164305105894,0.8647331444084716,31.666607557664165
2023-11-15,37,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,1.496057737673763,1.1968461901390104,32.86345374780318
2023-11-16,38,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,1.6620981920126356,1.3296785536101086,34.193132301413286
2023-11-17,39,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,2.4580409483805417,1.9664327587044335,36.15956506011772
2023-11-18,40,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,2.138964777644164,1.7111718221153311,37.870736882233054
2023-11-19,41,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,1.1239137284257736,0.899130982740619,38.76986786497367
2023-11-20,42,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,2.20634499706126,1.765075997649008,40.534943862622676
2023-11-21,43,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,1.8912105936372603,1.5129684749098082,42.04791233753248
2023-11-22,44,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,1.785307280891282,1.4282458247130256,43.476158162245504
2023-11-23,45,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,2.470178940614261,1.9761431524914088,45.452301314736914
2023-11-24,46,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,2.7209570180302265,2.1767656144241814,47.6290669291611
2023-11-25,47,越冬期,stage_3,0.8,生理活动微弱，需浇越冬水,2.712745538672994,2.1701964309383954,49.799263360099495
